magnitName,magnitPrice,ulybkaName,ulybkaPrice,matchPercent
"Прокладки ежедневные Always Everyday Незаметная защита экстраудлиненные 18шт",254.0,"Ежедневные прокладки Always Незаметная защита Экстраудлиненные 18шт",299.0,100
"Прокладки ежедневные Always Everyday удлиненные 16шт",178.0,"Ежедневные прокладки Always Незаметная защита удлиненные 16шт",199.0,83
"Прокладки ежедневные Always Everyday удлиненные 16шт",178.0,"Ежедневные прокладки Always Незаметная защита удлиненные 16шт",199.0,83
"Тушь для ресниц Art-Visage Chicago объемная коричневая",396.0,"Тушь для ресниц Art-Visage Chicago объёмная коричневая 15мл",449.0,100
"Подводка-фломастер для глаз Черная Art-Visage Chicago",374.0,"Подводка - фломастер для век Art-Visage Chicago Черная 0,7мл",429.0,87
"Основа под макияж Art-Visage Skin Primer выравнивающая",233.0,"Основа Art-Visage под макияж выравнивающая ' Skin Primer ' 13мл",269.0,100
"Гель для бровей ультра фиксация Art-Visage Ultimate Fix",263.0,"Ультрафиксирующий гель для бровей Art-Visage Ultimate Fix",369.0,87
"Гель для бровей и ресниц Art-Visage средней фиксации",237.0,"Гель для бровей и ресниц Art-Visage 5мл",229.0,87
"Тушь для ресниц Art-Visage Panoramic",400.0,"Тушь для ресниц Art-Visage Chicago Черная 15мл",449.0,83
"Тушь для ресниц Art-Visage Panoramic",400.0,"Тушь для ресниц Art-Visage Chicago объёмная коричневая 15мл",449.0,83
"Тушь для ресниц Art-Visage Panoramic",400.0,"Тушь для ресниц Art-Visage Panoramic объём , удлинение и разделение 9мл",455.0,100
"Тушь для ресниц Art-Visage Panoramic",400.0,"Тушь для ресниц Art-Visage Chicago Ultramarine 15мл",449.0,83
"Тушь для ресниц Art-Visage Panoramic",400.0,"Тушь для ресниц Art-Visage Chicago Emerald 15мл",449.0,83
"Тушь для ресниц Art-Visage Panoramic",400.0,"Тушь для ресниц Art-Visage Chicago Slim Черная 7мл",449.0,83
"Тушь для ресниц Art-Visage Panoramic",400.0,"Тушь для ресниц активатор роста Art-Visage Chicago Черная 15мл",449.0,83
"Блеск для губ Avenue тон 501 Glass Art-Visage",268.0,"Блеск для губ Art-Visage Avenue 501 Glass 3,3мл",269.0,88
"Гель для бровей и ресниц Art-Visage оттенок шатен",236.0,"Гель для бровей и ресниц Art-Visage 5мл",229.0,87
"Блеск для губ Avenue тон 502 Iconic Art-Visage",268.0,"Блеск для губ Art-Visage Avenue 502 Iconic 3,3мл",269.0,88
"Блеск для губ Avenue тон 512 Sangria Art-Visage",268.0,"Блеск для губ Art-Visage Avenue 512 Sangria 3,3мл",269.0,88
"Блеск для губ Avenue тон 508 Praline Art-Visage",268.0,"Блеск для губ Art-Visage Avenue 508 Praline 3,3мл",269.0,88
"Блеск для губ Avenue тон 506 Nectar Art-Visage",268.0,"Блеск для губ Art-Visage Avenue 506 Nectar 3,3мл",269.0,88
"Блеск для губ Avenue тон 508 Praline Art-Visage",268.0,"Блеск для губ Art-Visage Avenue 508 Praline 3,3мл",269.0,88
"Блеск для губ Avenue тон 506 Nectar Art-Visage",268.0,"Блеск для губ Art-Visage Avenue 506 Nectar 3,3мл",269.0,88
"Блеск для губ Avenue тон 503 Candy Rose Art-Visage",268.0,"Блеск для губ Art-Visage Avenue 503 Candy rose 3,3мл",269.0,90
"Блеск для губ Avenue тон 507 Sandy Art-Visage",268.0,"Блеск для губ Art-Visage Avenue 507 Sandy 3,3мл",269.0,88
"Гель для бровей и ресниц Art-Visage оттенок брюнет",236.0,"Гель для бровей и ресниц Art-Visage 5мл",229.0,87
"Блеск для губ Avenue тон 510 Lilac Nude Art-Visage",268.0,"Блеск для губ Art-Visage Avenue 510 Lilac nude 3,3мл",269.0,90
"Блеск для губ Avenue тон 504 Prosseco Art-Visage",268.0,"Блеск для губ Art-Visage Avenue 504 Prosseco 3,3мл",269.0,88
"Блеск для губ тон 02 Merry-Go-Round Beauty Bomb",448.0,"Блеск для губ Beauty Bomb Land Merry-go-round 02 5г",499.0,90
"Блеск для губ тон 03 Merry-Go-Round Beauty Bomb",445.0,"Блеск для губ Beauty Bomb Land Merry-go-round 03 5мл",499.0,90
"Блеск для губ  тон 01 Merry-Go-Round Beauty Bomb",448.0,"Блеск для губ Beauty Bomb Land Merry-go-round 01 5г",499.0,90
"Палетка теней для век двойная тон 04 Beauty Bomb",493.0,"Палетка теней для век двойная Beauty Bomb Double Eyeshadow 04 3,4г",499.0,88
"Палетка теней для век двойная тон 03 Beauty Bomb",499.0,"Палетка теней для век двойная Beauty Bomb Double Eyeshadow 03 3,4г",499.0,88
"Палетка теней для век двойная тон 01 Beauty Bomb",499.0,"Палетка теней для век двойная Beauty Bomb Double Eyeshadow 01 3,4г",499.0,88
"Палетка теней для век двойная тон 01 Beauty Bomb",499.0,"Палетка теней для век двойная Beauty Bomb Double Eyeshadow 01 3,4г",499.0,88
"Тушь для ресниц удлиняющая тон 01 Beauty Bomb Piercy Drama Volume Mascara",451.0,"Объёмная тушь для ресниц Beauty Bomb Piercy Drama Volume Mascara 01 9мл",451.0,83
"Палетка для контуринга Beauty Bomb тон 02",554.0,"Палетка для контуринга лица Beauty Bomb Countouring Queen 02 8г",559.0,85
"Карандаш для бровей Beauty Bomb автоматический тон 03",382.0,"Автоматический карандаш для бровей Beauty Bomb Pop 03 1г",389.0,87
"Объемная тушь для ресниц тон 01 Beauty Bomb Piercy",451.0,"Объёмная тушь для ресниц Beauty Bomb Piercy Drama Volume Mascara 01 9мл",451.0,88
"Помада-бальзам Beauty Bomb для губ тон 06",315.0,"Помада - бальзам для губ Beauty Bomb Color lip balm 06 4г",323.0,87
"Карандаш для губ Beauty Bomb Alt Lolita тон 09",278.0,"Карандаш для губ Beauty Bomb Alt Lolita 09 3,5г",277.0,88
