name,price,oldPrice
"Шампунь для волос Глисс Кур Совершенство Окрашенных Волос с экстрактом клюквы 400мл",289.0,439
"Шампунь для тусклых и лишенных блеска волос Сьёсс Glossing 450мл",319.0,499
"Пудра для волос Estel Blond Ultra обесцвечивающая 30г",165.0,165
"Кассеты для станка Gillette Fusion сменные 2шт",1190.0,1650
"Увлажняющий праймер для лица Catrice Aqua Splash 30мл",553.0,553
"Капсулы для стирки цветного белья Synergetic Color 12шт",279.0,449
"Рассыпчатая фиксирующая пудра для лица Essence fix & LAST 14h 9,5г",459.0,459
"Увлажняющий праймер - желе для лица Essence Jelly Grip Hydrating 29мл",459.0,459
"Влажная водорастворимая туалетная бумага Ecologica ' плотная и мягкая ' 42шт",129.0,189
"Тушь для ресниц Luxvisage XXL Суперобъём + Эффект накладных ресниц 9г",324.0,499
"Бронзирующая пудра для лица с эффектом сияния Catrice Sun Lover Glow 010 8г",553.0,553
"Фиксирующая пудра для лица Essence All about matt! Прозрачный 8г",355.0,355
"Сменные кассеты для станка Gillette Fusion 4шт",1990.0,2490
"Тушь для ресниц Vivienne Sabo ' CABARET ' 01 Черный 9мл",359.0,499
"Тушь для ресниц Vivienne Sabo Cabaret Premiere с эффектом сценического объёма 05 коричневый 9мл",579.0,579
"Шампунь для волос Шаума ' Воздушный объем ' с экстрактом кувшинки 370мл",199.0,299
"Оксигент для волос Estel Blond Ultra 6% 60мл",145.0,145
"Кассеты для станка Gillette Mach 3 сменные 4шт",1350.0,1750
"Гипоаллергенный гель для стирки Synergetic для всех видов тканей 2,75л",699.0,1290
"Прозрачная фиксирующая пудра для лица Relouis PRO HD Powder 10г",468.0,669
"Зубная паста SPLAT Professional ' Отбеливание Плюс ' 100мл",209.0,339
"Набор дорожных флаконов Valori 9 предметов",499.0,499
"Шампунь для волос Шаума ' Мицеллярный уход ' с экстрактом пиона и провитамином B5 370мл",199.0,299
"Бальзам - ополаскиватель для волос с коллагеном и кератином Mixit Hair Expert Collagen+Keratin 1000мл",479.0,639
"Гель для бровей Luxvisage Brow super fix 12h суперсильной фиксации бесцветный 6г",194.0,299
"Губки для мытья посуды Guten Tag пена эффект 5шт",69.0,99
"Мочалка Spa 4 Me - пемза для душа и ванны",79.0,79
"Тушь для ресниц с эффектом по-настоящему невероятного объёма Vivienne Sabo Lashextase Черная 9мл",729.0,729
"Мужской станок для бритья Gillette Fusion + сменные кассеты 4шт",1790.0,2250
"Кассеты для станка Gillette Mach 3 сменные 8шт",2190.0,2890
"Гидрогелевые патчи для век WEIS Lazy Care с экстрактом сакуры , гиалуроновой кислотой и коллагеном 60шт",549.0,549
"Кассеты для бритья E-Xact с увлажняющей полоской 5 лезвий 2шт",499.0,799
"CC крем для лица Luxvisage Active Complex SPF10 , 10 , 35г",324.0,499
"Салфетки универсальные Guten Tag в рулоне 25*30см , 30 листов",149.0,199
"Автоматический карандаш для бровей Vivienne Sabo Brow Arcade 02 коричневый",535.0,535
"Кассеты для бритья E-Xact с увлажняющей полоской 5 лезвий 4шт",799.0,1220
"Бальзам для губ ФИТОкосметик ' Бархатные губки ' в ассортименте 4,5г",69.0,99
"Тушь для очень большого объёма и удлинения ресниц Vivienne Sabo Grand Noire Черная 9мл",729.0,729
"Тушь для ресниц Luxvisage Secret Черная 12г",278.0,429
"Мочалка - брикет Aqua Joy Energy для душа и ванны , в ассортименте 15см*9см",199.0,199
"Мочалка - лента Aqua Joy Energy для душа и ванны , полипропиленовая , в ассортименте",349.0,349
"Кассеты для станка Gillette Mach 3 сменные 2шт",799.0,995
"Тряпка для пола Haus Frau из микрофибры 50*60см",149.0,149
"Восстанавливающий бальзам - ополаскиватель для волос с коллагеном и биотином Mixit Hair Expert Collagen+biotin 1000мл",479.0,639
"Оксигент для волос Estel Blond Ultra 9% 60мл",145.0,145
"Мочалка - шар Aqua Joy для душа с черной сеткой",149.0,149
"Мочалка - шар Aqua Joy Romantic YPM55P-1 для тела , полиэстер",149.0,149
"Кассеты для станка Carelax Energy 3 лезвия 4шт + станок в подарок",995.0,995
"Фасовочные пакеты Clear Line 26*36см 200шт",104.0,149
"Энзимная пудра для очищения чувствительной кожи и осветления следов постакне Likato Professional Enzyme Powder Vitamin C 150мл",569.0,759
"Очищающая пенка Экстраувлажнение с мочевиной и гиалуроновой кислотой Mixit LAB WOW Moisture 200мл",374.0,499
"Кассеты для станка Venus сменные 2шт",849.0,1150
"Увлажняющий крем для лица Aravia Laboratories Hydro Boost SPF 20 с мочевиной 10% и аква-комплексом 100мл",429.0,679
"Средство для ногтей Frenchi Умная эмаль ' стальной укрепитель ' 11мл",299.0,299
"Тампоны Kotex Active Super 16шт",299.0,399
"Тинт для губ Luxvisage Lip Tint Aqua Gel 06 Toffe 3,4мл",230.0,355
"Палетка теней для век Catrice The Pure Nude 8 оттенков 9г",689.0,689
"Жидкость для снятия лака без ацетона 100мл",79.0,79
"Мочалка массажная Мойдодыр с высокой петлей в ассортименте",349.0,349
"Одноразовые станки Venus Satin Care Simply для бритья 4шт",279.0,369
"Автоматический карандаш для бровей Vivienne Sabo Brow Arcade 03 , 0,1г",535.0,535
"Набор банных косметичек Ameli из ПВХ и ПУ S/L 2шт",599.0,599
"Универсальное хозяйственное мыло Duru Clean & White 120г* 4шт",261.0,349
"Ватные диски прошитые Aura Pure Cotton 180шт",129.0,199
"Порошок Невская Косметика Ушастый нянь для стирки детского белья 2,4кг",449.0,599
"Кассеты для станка Gillette Fusion сменные в блистере 8шт",3390.0,4250
"Набор косметических аксессуаров Ameli с принтом 7 предметов",399.0,399
"Мешки для мусора Guten Tag 35л с завязками 20шт",99.0,139
"Мочалка - шар Aqua Joy для душа и ванны , в ассортименте",129.0,129
"Карамель на палочке Chupa Chups в ассортименте 12г",15.0,15
"Перчатки Haus Frau с хлопковым напылением S 1 пара",69.0,69
"Зубная паста SPLAT Professional ' лечебные травы ' 100мл",209.0,339
"Универсальный пятновыводитель Lavel ' OXY комплекс ' 250мл",139.0,199
"Омолаживающий крем для лица Aravia Laboratories Collagen Active SPF 20 с нативным коллагеном 100мл",429.0,679
"Отбеливающая зубная паста с дозатором PSLAB Double White 200мл",399.0,399
"Масло для губ Essence Hydra kiss lip oil 08 4мл",355.0,355
"Целлюлозные салфетки Vilardi 3шт",199.0,269
"Средство для ногтей Frenchi Умная эмаль ' стальной укрепитель ' с шиммером 11мл",299.0,299
"Отбеливающая зубная паста PresiDENT White 75мл",304.0,469
"Лак для волос Тафт Объем Мегафиксация (5) 225мл",319.0,449
"Одноразовый станок для бритья Dorco Eve 4",169.0,169
"Салфетки для уборки В каждый дом из микрофибры 30*30см",29.0,29
